"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"The Local Churches","Evangelical Protestant","","7","",""
"Ukrainian Orthodox Church of the U.S.A.","Orthodox","Eastern Liturgical (Orthodox) Family","22","2,784","0.21"
"Unaffiliated Amish-Mennonite (Conservative)","Evangelical Protestant","Mennonite/Amish Family","4","349","0.03"
"Unaffiliated Amish-Mennonite (Spring Garden network)","Evangelical Protestant","Mennonite/Amish Family","3","459","0.04"
"Unaffiliated Conservative Mennonite","Evangelical Protestant","Mennonite/Amish Family","14","1,342","0.10"
"Unification Church","Other","Other Groups Family","1","",""
"Union American Methodist Episcopal Church","Black Protestant","Methodist Family","12","",""
"Union of Messianic Jewish Congregations","Other Christians","Other Groups Family","1","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","37","6,553","0.50"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","566","123,598","9.51"
"United Church of God","Other Christians","Adventist Family","4","",""
"United Holy Church of America","Black Protestant","Pentecostal Family","16","978","0.08"
"United House of Prayer","Black Protestant","","5","1,040","0.08"
"United Methodist Church","Mainline Protestant","Methodist Family","1,986","448,894","34.52"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","61","",""
"United Reformed Churches in North America","Evangelical Protestant","Presbyterian/Reformed Family","3","140","0.01"
"United Zion Church","Evangelical Protestant","Friends/Brethren Family","9","523","0.04"
"Unity Churches, Association of","Other Christians","Other Groups Family","8","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","6","322","0.02"
"Vanguard Presbytery","Evangelical Protestant","","3","",""
"Vedanta Society","Other","Other Groups Family","1","",""
"Washington-Franklin Mennonite Conference","Evangelical Protestant","Mennonite/Amish Family","3","625","0.05"
"Weaverland Mennonite Conference","Evangelical Protestant","Mennonite/Amish Family","28","11,512","0.89"
"Wesleyan Church","Evangelical Protestant","Holiness Family","73","13,465","1.04"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","4","375","0.03"
" "," "," ","15,184.0","6,097,345.0"," "
